AKUN,DESKRIPSI,TANGGAL,DESKRIPSI KEGIATAN,REALISASI (RP),BULAN,TAHUN,Normalisasi,Klaster
612408101,PEMELIHARAAN KANTOR,08/05/2020,PEMBELIAN PERLENGKAPAN KANTOR,1659600,5,2020,0.055762,0
612403101,"TELEPON/INTERNET/FASIMILI,AIR, LISTRIK & GAS",12/05/2020,TAGIHAN PDAM,172400,5,2020,0.005717,0
612203106,BIAYA LAYANAN PESERTA,12/05/2020,PEMBELIAN PULSA LAYANAN,124000,5,2020,0.004089,0
612414101,BBM/TOL/PARKIR,08/05/2020,PEMBELIAN BBM MOBIL DINAS,235053,5,2020,0.007825,0
612414101,BBM/TOL/PARKIR,08/05/2020,PEMBELIAN BBM MOBIL DINAS,400000,5,2020,0.013376,0
612414101,BBM/TOL/PARKIR,13/05/2020,PEMBELIAN BBM MOBIL DINAS,300000,5,2020,0.010011,0
612414101,BBM/TOL/PARKIR,13/05/2020,PEMBELIAN BBM MOBIL DINAS,350000,5,2020,0.011693,0
612408103,PEMELIHARAAN/PERBAIKAN KENDARAAAN,08/05/2020,NITRO-PLUS  MOBIL DINAS ,8000,5,2020,0.000185,0
612201102,BIAYA PUBLIKASI & DOKUMENTASI,13/05/2020,BIAYA CETAK BANNER,240000,5,2020,0.007992,0
612401102,BEBAN FOTOCOPY,14/05/2020,PEMB. FOTOKOPI,7000,5,2020,0.000151,0
612201102,BEBAN PUBLIKASI DOKUMENTASI,14/05/2020,PRINT A3 ,3500,5,2020,0.000034,0
612201102,BEBAN PUBLIKASI DOKUMENTASI,18/05/2020,PRINT A3,7000,5,2020,0.000151,0
612201102,BEBAN PUBLIKASI DOKUMENTASI,18/05/2020,STEROFOAM,14000,5,2020,0.000387,0
612415103,RETRIBUSI & KEBERSIHAN,14/05/2020,PEMBY. BIAYA KEBERSIHAN & KEAMANAN RUMAH DINAS,600000,5,2020,0.020106,0
612201102,BEBAN PUBLIKASI DOKUMENTASI,22/05/2020,SPANDUK IDUL FITRI 5x1 M,200000,5,2020,0.006646,0
612414101,BBM/TOL/PARKIR,22/05/2020,PEMBELIAN BBM MOBIL DINAS,350000,5,2020,0.011693,0
612414101,BBM/TOL/PARKIR,22/05/2020,PEMB. TOL MOBIL DINAS,9000,5,2020,0.000219,0
612408103,PEMELIHARAAN/PERBAIKAN KENDARAAAN,22/05/2020,PEMELIHARAAN KENDARAAN,30000,5,2020,0.000925,0
612203106,BIAYA LAYANAN PESERTA,22/05/2020,PEMBELIAN PULSA LAYANAN,102000,5,2020,0.003348,0
612403103,RUMAH TANGGA,10/06/2020,PEMB. AQUA & GAS ,227000,6,2020,0.007554,0
612403103,RUMAH TANGGA,10/06/2020,DANA BANTUAN BULAN JUNI 2020,100000,6,2020,0.003281,0
612415103,RETRIBUSI & KEBERSIHAN,14/06/2020,RETRIBUSI KEBERSIHAN RUMAH DINAS,300000,6,2020,0.010011,0
612414101,BBM/TOL/PARKIR,22/05/2020,PEMB. TOL MOBIL DINAS,7000,5,2020,0.000151,0
612408102,PEMELIHARAAN/PERBAIKAN RUMAH DINAS,03/06/2020,PEMB. ANTENA TOYOSAKI,135000,6,2020,0.004459,0
612408102,PEMELIHARAAN/PERBAIKAN RUMAH DINAS,03/06/2020,PEMB. SET PERB. AC,80000,6,2020,0.002608,0
612408102,PEMELIHARAAN/PERBAIKAN RUMAH DINAS,03/06/2020,PEMB. TL 36 W,52500,6,2020,0.001683,0
612408102,PEMELIHARAAN/PERBAIKAN RUMAH DINAS,05/06/2020,PEMB. AKTILIX,175000,6,2020,0.005805,0
612401102,BEBAN FOTOCOPY,05/06/2020,PEMB. JILID SPIRAL LAPORAN KEUANGAN,78000,6,2020,0.002541,0
612403103,RUMAH TANGGA,09/06/2020,PEMB. POHON & POT,350000,6,2020,0.011693,0
612403103,RUMAH TANGGA,09/06/2020,PEMB. BONSEI,250000,6,2020,0.008328,0
612403103,RUMAH TANGGA,10/06/2020,PEMB. POT,125000,6,2020,0.004122,0
612403103,RUMAH TANGGA,10/06/2020,PEMB. TANAMAN HIAS,30000,6,2020,0.000925,0
