AKUN/DESKRIPSI,TANGGAL,DESKRIPSI KEGIATAN,REALISASI (RP)
612408101/ PEMELIHARAAN KANTOR,08/05/2020,PEMBELIAN PERLENGKAPAN KANTOR,1659600
"612403101/TELEPON/INTERNET/FASIMILI,AIR, LISTRIK & GAS",12/05/2020,TAGIHAN PDAM,172400
612203106/BIAYA LAYANAN PESERTA,12/05/2020,PEMBELIAN PULSA LAYANAN,124000
612414101/BBM/TOL/PARKIR,08/05/2020,PEMBELIAN BBM MOBIL DINAS,235053
612414101/BBM/TOL/PARKIR,08/05/2020,PEMBELIAN BBM MOBIL DINAS,400000
612414101/BBM/TOL/PARKIR,08/05/2020,PEMBELIAN BBM MOBIL DINAS,400000
612414101/BBM/TOL/PARKIR,13/05/2020,PEMBELIAN BBM MOBIL DINAS,300000
612414101/BBM/TOL/PARKIR,13/05/2020,PEMBELIAN BBM MOBIL DINAS,350000
612414101/BBM/TOL/PARKIR,13/05/2020,PEMBELIAN BBM MOBIL DINAS,300000
612414101/BBM/TOL/PARKIR,13/05/2020,PEMBELIAN BBM MOBIL DINAS,350000
612408103/PEMELIHARAAN/PERBAIKAN KENDARAAAN,08/05/2020,NITRO-PLUS  MOBIL DINAS ,8000
612201102/BIAYA PUBLIKASI & DOKUMENTASI,13/05/2020,BIAYA CETAK BANNER,240000
612401102/BEBAN FOTOCOPY,14/05/2020,PEMB. FOTOKOPI,7000
612201102/BEBAN PUBLIKASI DOKUMENTASI,14/05/2020,PRINT A3 ,3500
612201102/BEBAN PUBLIKASI DOKUMENTASI,14/05/2020,PRINT A3,3500
612201102/BEBAN PUBLIKASI DOKUMENTASI,18/05/2020,PRINT A3,7000
612201102/BEBAN PUBLIKASI DOKUMENTASI,14/05/2020,STEROFOAM,7000
612201102/BEBAN PUBLIKASI DOKUMENTASI,18/05/2020,STEROFOAM,14000
612309101/BEBAN FOTOCOPY,14/05/2020,PEMB. FOTOKOPI,7000
612201102/BEBAN PUBLIKASI DOKUMENTASI,14/05/2020,PRINT A3 ,3500
612201102/BEBAN PUBLIKASI DOKUMENTASI,14/05/2020,PRINT A3,3500
612201102/BEBAN PUBLIKASI DOKUMENTASI,18/05/2020,PRINT A3,7000
612201102/BEBAN PUBLIKASI DOKUMENTASI,14/05/2020,STEROFOAM,7000
612201102/BEBAN PUBLIKASI DOKUMENTASI,18/05/2020,STEROFOAM,14000
612415103/RETRIBUSI & KEBERSIHAN,08/05/2020,PEMBY. BIAYA KEBERSIHAN KANTOR,400000
612415103/RETRIBUSI & KEBERSIHAN,14/05/2020,PEMBY. BIAYA KEBERSIHAN & KEAMANAN RUMAH DINAS,600000
612201102/BEBAN PUBLIKASI DOKUMENTASI,22/05/2020,SPANDUK IDUL FITRI 5x1 M,200000
612414101/BBM/TOL/PARKIR,22/05/2020,PEMBELIAN BBM MOBIL DINAS,350000
612414101/BBM/TOL/PARKIR,22/05/2020,PEMB. TOL MOBIL DINAS,9000
612408103/PEMELIHARAAN/PERBAIKAN KENDARAAAN,22/05/2020,PEMELIHARAAN KENDARAAN,30000
612203106/BIAYA LAYANAN PESERTA,22/05/2020,PEMBELIAN PULSA LAYANAN,102000
612403103/RUMAH TANGGA,10/06/2020,PEMB. AQUA & GAS ,227000
612403103/RUMAH TANGGA,10/06/2020,DANA BANTUAN BULAN JUNI 2020,100000
612415103/RETRIBUSI & KEBERSIHAN,14/06/2020,RETRIBUSI KEBERSIHAN RUMAH DINAS,300000
612414101/BBM/TOL/PARKIR,22/05/2020,PEMB. TOL MOBIL DINAS,7000
612414101/BBM/TOL/PARKIR,22/05/2020,PEMB. TOL MOBIL DINAS,7000
612408102/PEMELIHARAAN/PERBAIKAN RUMAH DINAS,03/06/2020,PEMB. ANTENA TOYOSAKI,135000
612408102/PEMELIHARAAN/PERBAIKAN RUMAH DINAS,03/06/2020,PEMB. SET PERB. AC,80000
612408102/PEMELIHARAAN/PERBAIKAN RUMAH DINAS,03/06/2020,PEMB. TL 36 W,52500
612408102/PEMELIHARAAN/PERBAIKAN RUMAH DINAS,05/06/2020,PEMB. AKTILIX,175000
612401102/BEBAN FOTOCOPY,05/06/2020,PEMB. JILID SPIRAL LAPORAN KEUANGAN,78000
612403103/RUMAH TANGGA,09/06/2020,PEMB. POHON & POT,350000
612403103/RUMAH TANGGA,09/06/2020,PEMB. BONSEI,250000
612403103/RUMAH TANGGA,10/06/2020,PEMB. POT,125000
612403103/RUMAH TANGGA,10/06/2020,PEMB. TANAMAN HIAS,30000
612403103/RUMAH TANGGA,10/06/2020,PEMB. AQUA & GAS ,227000
612403103/RUMAH TANGGA,12/06/2020,PEMB. POHON PALAM & POT,240000
612412101/BIAYA JAMUAN KANTOR,08/06/2020,PEMB. JAMUAN,228000
612412101/BIAYA JAMUAN KANTOR,08/06/2020,PEMB. JAMUAN,150000
612414101/BBM/TOL/PARKIR,06/05/2020,PEMB. TOL MOBIL DINAS,7000
612414101/BBM/TOL/PARKIR,19/05/2020,PEMB. TOL MOBIL DINAS,10000
612414101/BBM/TOL/PARKIR,11/06/2020,PEMB. BBM MOBIL DINAS,400000
612414101/BBM/TOL/PARKIR,10/06/2020,PEMB. BBM MOBIL DINAS,365000
612414101/BBM/TOL/PARKIR,10/06/2020,PEMB. BBM MOTOR DINAS,20000
612414101/BBM/TOL/PARKIR,11/06/2020,PEMB. TOL MOBIL DINAS,7000
612414101/BBM/TOL/PARKIR,11/06/2020,PEMB. TOL MOBIL DINAS,7000
612414101/BBM/TOL/PARKIR,11/06/2020,PEMB. TOL MOBIL DINAS,12000
612414101/BBM/TOL/PARKIR,11/06/2020,PEMB. TOL MOBIL DINAS,12000
612203106/BIAYA LAYANAN PESERTA,10/06/2020,PEMBELIAN PULSA LAYANAN,123000
"612403101/TELPON,INTERNET,FASIMILI",11/06/2020,PEMBELIAN PULSA KEUANGAN,62000
612201102/BEBAN PUBLIKASI & DOKUMENTASI,11/06/2020,PEMB. PUBLIKASI RADAR BOGOR,750000
612401102/BEBAN FOTOCOPY,08/06/2020,LAMINATING & JILID SPIRAL KAWAT,144000
612401102/BEBAN FOTOCOPY,11/06/2020,PRINT A3,7000
612401102/BEBAN FOTOCOPY,12/06/2020,LAMINATING & JILID SPIRAL KAWAT,26000
612414101/BBM/TOL/PARKIR,17/06/2020,TOL  BOGOR 2,7000
612414101/BBM/TOL/PARKIR,17/06/2020,TOL CILILITAN,10000
612414101/BBM/TOL/PARKIR,17/06/2020,TOL CEMPAKA PUTIH,10000
612414101/BBM/TOL/PARKIR,17/06/2020,TOL SENTUL SLT,7000
612414101/BBM/TOL/PARKIR,17/06/2020,TOL SENTUL BARAT,10000
"612403101/TELEPON/INTERNET/FASIMILI,AIR, LISTRIK & GAS",15/06/2020,PEMB PDAM,172400
"612403101/TELEPON/INTERNET/FASIMILI,AIR, LISTRIK & GAS",05/06/2020,PEMB TCC APRIL,95200
"612403101/TELEPON/INTERNET/FASIMILI,AIR, LISTRIK & GAS",05/06/2020,PEMB TCC MEI,101600
612403103/RUMAH TANGGA,31/05/2020,PEMB. GALON AQUA,394800
612203106/BIAYA LAYANAN PESERTA,24/06/2020,PEMBELIAN PULSA LAYANAN,85000
612203106/BIAYA LAYANAN PESERTA,24/06/2020,PEMBELIAN PULSA LAYANAN,100000
612412101/BIAYA JAMUAN KANTOR,19/06/2020,JAMUAN,46000
612412101/BIAYA JAMUAN KANTOR,23/06/2020,JAMUAN,116000
612412101/BIAYA JAMUAN KANTOR,24/06/2020,JAMUAN ,199000
612412101/BIAYA JAMUAN KANTOR,24/06/2020,JAMUAN TAMU DINAS,75000
612412101/BIAYA JAMUAN KANTOR,24/06/2020,JAMUAN TAMU DINAS,204000
612403103/RUMAH TANGGA,26/06/2020,KABEL HDMI TO HDMI 15 M,225000
612414101/BBM/TOL/PARKIR,29/06/2020,BBM MOBIL DINA,300000
612414101/BBM/TOL/PARKIR,29/06/2020,BBM MOBIL DINAS ,209000
612414101/BBM/TOL/PARKIR,29/06/2020,BBM MOTOR DINAS,30000
612412101/BIAYA JAMUAN KANTOR,19/06/2020,JAMUAN,495000
811010108/BEBAN TANGGAP DARURAT,19/06/2020,RAPID TEST KC BOGOR,1250000
612412101/BIAYA JAMUAN KANTOR,01/07/2020,JAMUAN,127000
612412101/BIAYA JAMUAN KANTOR,01/07/2020,JAMUAN,40000
612412101/BIAYA JAMUAN KANTOR,02/07/2020,JAMUAN,150000
612401102/BEBAN FOTOCOPY,02/07/2020,JILID SPIRAL & LAMINATING PKBL,13000
612401102/BEBAN FOTOCOPY,02/07/2020,JILID SPIRAL & LAMINATING LAP. KEU,39000
612403103/RUMAH TANGGA,23/06/2020,KARANGA N BUNGA DUKA CITA,650000
612403103/RUMAH TANGGA,01/07/2020,KABEL KONEKTOR & LAN TESTER,85000
612403103/RUMAH TANGGA,01/07/2020,KABEL POWER 2X1.5 MM,96000
612403103/RUMAH TANGGA,06/07/2020,BIAYA PENGANGKUTAN,150000
612403103/RUMAH TANGGA,06/07/2020,AQUA 330 ML,36500
612414101/BBM/TOL/PARKIR,02/07/2020,BBM MOBIL DINAS ,350000
612414101/BBM/TOL/PARKIR,01/07/2020,BBM MOBIL DINAS ,240000
612408103/PEMELIHARAAN/PERBAIKAN KENDARAAAN,06/07/2020,CARFIT CARMAT  MOBIL DINAS,439900
612308102/BEBAN BINA BAPORSENI,08/07/2020,HONOR INSTRUKTUR SENAM,300000
612308102/BEBAN BINA BAPORSENI,09/07/2020,HONOR INSTRUKTUR SENAM,300000
612308102/BEBAN BINA BAPORSENI,10/07/2020,HONOR INSTRUKTUR SENAM,300000
221100107/PPH 21 WAPU PIHAK 3,08/07/2020,UTG PPH 21 WAPU PIHAK 3,9000
221100107/PPH 21 WAPU PIHAK 4,09/07/2020,UTG PPH 21 WAPU PIHAK 3,9000
221100107/PPH 21 WAPU PIHAK 5,10/07/2020,UTG PPH 21 WAPU PIHAK 3,9000
612412101/BIAYA JAMUAN KANTOR,08/07/2020,PEMB. JAMUAN TAMU DINAS,68500
612412101/BIAYA JAMUAN KANTOR,08/07/2020,PEMB. JAMUAN TAMU DINAS,139000
612412101/BIAYA JAMUAN KANTOR,08/07/2020,PEMB. JAMUAN TAMU DINAS,215000
612412101/BIAYA JAMUAN KANTOR,08/07/2020,PEMB. JAMUAN TAMU DINAS,470500
"612403101/TELEPON/INTERNET/FASIMILI,AIR, LISTRIK & GAS",12/05/2020,TAGIHAN PDAM,172400
"612403101/TELEPON/INTERNET/FASIMILI,AIR, LISTRIK & GAS",14/07/2020,PEMBY. TAGIHAN TELP ,80522
